title,posted,experience,views,replies,description,link
Full-Stack Developer (Python/React),2023-05-21,3,17,2,"Matoffo is looking for an experienced Full-Stack Developer (Python/React) to join our team. We welcome those who share our values, striving to grow professionally constantly and make things done.About our clientClient is a US based startup that organizes all info across your digital workspace and provides context for the projects, meetings, and people that matter to you. Product has all of your most important files, documents, conversations, and links organized by client, project, and team. It makes your daily activities much more comfortable.What will you be doing:You will work with other team members to develop and support product functionality to achieve business goals;Maintain code and component library formulated using design patterns;Participate in code review, maintenance and refactoring, meeting new feature requirements and improving existing features;Participate in problem solving in a production environment;You will collaborate with other teams to understand the product vision and meet the requirements by developing the frontend functionality;Performing peer code-reviews and unit testing to ensure high-quality software.We expect from you:3+ years of experience with React, Redux;3+ years of experience with HTML, CSS, and plain JavaScript;3+ years of experience with Python;Experience with TypeScript is mandatory;Solid understanding of the SDLC and tooling (GIT, branching/merging, build systems, CI technologies);Understanding of state management (redux), HOCs, hooks;Experience working with remote data via REST and JSON;Strong knowledge of OOP, design patterns, SOLID;Experience with test driven development;Self-motivation with the ability to work in a team in a fast-paced environment;Ability to work independently, team player with strong communication and interpersonal skills;Ability to discuss and explain complex technical concepts to both engineers and non-engineers;Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon;An understanding of best practices and a commitment to following them;A positive mindset and can-do attitude;Experience working in an Agile environment;Upper-intermediate or higher English level, both spoken and written.What you get:Flexible working hours;Competitive compensation commensurate with your experience and skills;Modern technologies, popular on the market;Not boring English classes;Interesting customers and projects;Learning and development opportunities along with AWS certification program;An excellent team with a friendly atmosphere.",https://djinni.co/jobs/558714-full-stack-developer-python-react-/
Backend Tech\Team Lead,2023-05-20,5,16,0,"Vanongo is an AI-powered last-mile logistics platform that enables transparent and precise delivery for merchants and fleets for sales increase. Focus on the post-checkout part of the journey provides upsell capabilities during the delivery.Vanongo brings consumer-centric tech to the world of urban last-mile delivery.We focus on: enabling transparent and precise delivery for merchants and fleets for sales increase making post-checkout part of the journey and enabling upsell capabilities during the delivery.We are looking for Backend Tech\Team Lead to join our dynamic team. If you have a passion for developing innovative solutions, leading technical team, and establishing best practices, this is the perfect opportunity for you. Join us in shaping the future of last-mile delivery and generating more orders for businesses through our Delivery Orchestration Platform.Recruitment process:1. Screening interview with Talent Acquisition Partner (30 min).2. Technical interview with Backend Tech\Team Lead and Backend Developer (1 h).3. PM interview with CTO and Head of Engineering (1 h).Requirements:• 8+ years of experience in backend development with at least 5 years of experience in Python.• Proficiency in building, supporting, documenting, and scaling programming interfaces (REST API).• Experience in building complex systems from scratch, setting up best practices in programming, testing, code review, and continuous deployment.• Understanding of AWS services (Lambda, API Gateway, EventBridge, S3).• Experience in architectural design of reliable and scalable systems.• Leadership skills for gathered and distributed teams.• Ability to work remotely and autonomously in a fast-paced startup environment.Responsibilities:• Lead the team responsible for supporting the existing System and further developing of new features.• Create and maintain a scalable backend solution that supports our Delivery Orchestration Platform.• Utilize your experience to establish and enforce the best development, testing, and code deployment practices.• Effectively collaborate with engineering teams, product team, and various stakeholders.• Communicate effectively through tasks, emails, meetings, and code documentation, ensuring a clear understanding of requirements and progress.• Participate in architectural decisions for our product.Nice to have:• Knowledge of Systems Manager, Fargate, CloudWatch, Firebase, and Django.• Knowledge of Marshmallow and Peewee.• Knowledge of PostgreSQL + PostGIS.• Experience with the startup environment.In return, we guarantee:• Remote work with an extensive onboarding process, monthly CFR (Conversation, Feedback, Recognition) sessions, and opportunities to participate in informal events.• A chance to shape the product as we actively develop.• An open and transparent work environment that utilizes OKRs methodology.• Autonomy to achieve common goals without micromanagement.• Opportunities for personal and professional development.• A dynamic and diverse team with unique backgrounds and interests!• Generous time off including 25 days of Vacation and 25 days of Sick leave, 3 Days off, and 2 Days for Self Development.",https://djinni.co/jobs/558724-backend-tech-team-lead/
Linux Python Developer  $3000-4000,2023-05-20,5,39,5,"We are looking for you, an experienced Linux Python Developer that is able to build complex solutions with Open-Source components. We are building highly scalable software in a flagship project for the public sector in Europe and looking for talented specialists to enhance the existing team.What you will doYou will support the existing development team in a large and prestigious Linux-based IT project,Together with the project members, you will build a scalable digital identity management system (IAM - identity and access management) and portal for access to all services based on Open-Source technologies,Your main task is to containerize (docker & Kubernetes) existing services into a sovereign online workspace.Important for usYou have relevant experience developing projects using Python in a Linux environment,You have experience with the following topics: MicroServices, Docker, Linux, Python, Kubernetes, IAM, Keycloak, OpenLDAP, GitLab,You have a DevOps mindset that you bring not only to software development, but also to topics related to environments needed to operate complex architectures based on microservice and containerization technologies,You work independently and reliably, but you can also develop solutions as part of a team,You have a structured approach to analyzing problems,You are fluent in English.We offerDecent and timely payment of wages,Opportunity for growth and development,Flexible schedule,Completely remote work,Salary review based on performance,Paid vacation,Complete absence of bureaucracy.",https://djinni.co/jobs/558643-linux-python-developer/
Python Full Stack Developer,2023-05-19,5,35,3,"About Us	Atto Trading is a multi-manager trading firm. We operate a portfolio of latency-sensitive strategies in cash equities and futures leveraging our proprietary trading platform. We do not provide third parties access to our trading infrastructure.With offices in New York & Kyiv, Atto has attracted a top-tier team of quant traders, portfolio managers, developers, and operational staff. After more than 12 years, we’re well established, still breaking our performance records, have become more experienced and we still haven't lost our startup spirit.For Atto, trading is a team sport. We know that it takes teamwork and relentless effort to beat the market year after year. We are successful because our exceptionally talented people work closely as a team to create flexible, tailored solutions to meet our trading needs.What we doWe trade stocks, options, and futures on American exchanges such as NASDAQ, NYSE, ARCA, BATS, EDGE, CME, CFE etc.Job Summary:ATTO Trading is seeking a Python full-stack developer to be part of our DevOps team supporting various projects, contributing to and developing the company's trading systems for its global trading footprint. The Full Stack Developer will work under the supervision of the DevOps Manager and he will be a key member of the Scrum team working in Agile Safe and DevOps culture. The primary responsibility of this role is to migrate existing projects from PHP, develop and maintain web applications (as well as backend applications) from scratch using (but not limited to) Python, Angular, and Node.js technologies.The ideal candidate will have a good foundation in Web Application development, Microservices architecture, and documented experience in REST, Angular, React, Typescript, UX, HTML5, CSS5, and SQL. Should be exposed to a broad range of technologies across all layers of architecture. Committed to collaborative problem solving, sophisticated design, and quality products are important.Responsibilities:performs application enhancements and builds new products in all layers of the application such as the backend and Webdevelops and maintains modernized and legacy systems on an Open-Source tech stack using effective principlesenhances software to reduce operating time or improve efficiencytroubleshoots and resolves issues in dev and production environmentsengage with product teams to comprehend functional challenges, prototype new ideas, and new technologies, and help to create innovative solutionsthe Full Stack Developer participates in the sprint planning meetings to assign the story points and commit to the user stories planned for a given weekly sprintparticipates in the devising of project timelines, implementation design specifications, system flow diagrams, documentation, testing, and ongoing support of applicationstranslates requirements into technical specifications and diagrams and implements them in conformance with architectural and business requirementsassists with the development and maintenance of operational and system-level documentation.participate in all phases of Agile methodology (planning, grooming, coding sprint items)participates in the devising of project timelines, implementation design specifications, system flow diagrams, documentation, testing, and ongoing support of applicationsThe right candidate: 5+ years of professional experience in developingtech skillsexpert-level programming skills in Python (3+ years of daily coding experience)relevant experience with Relational Database Management Systems (RDBMS), MySQLability to Monitor and manage system resources and application performanceexperience with Web Services (SOAP/REST), XML, JSON.experience with the Gitlab Versioning systemstrong programming experience in full-stack developmentexperience with Grafanaoutstanding knowledge of Linuxknowledge and understanding of DevOps principlesabout youmaster's degree in Computer Science or EEself-directed and self-motivated with the ability to take charge or play a supporting roleyou have exceptional attention to detail and a willingness to go deep into issueswillingness to work within a collaborative, team-drive environmentcomfortable in a fast-paced startup environmentgood English skills (spoken/written)Will be a plus:experience with programing of PHP applicationsexperience with time series (clickhouse, Prometheus)you have a passion for trading Benefits:an opportunity to learn and gain a unique experiencean excellent place for career advancement  competitive compensation and discretionary bonus (focused on business results)interesting and complex taskscorporate trainingpaid vacation and sick leaveflexible work schedule (40-hour workweek)remote work",https://djinni.co/jobs/535178-python-full-stack-developer/
Lead Python Developer,2023-05-19,5,12,0,"Hi!We are looking for Lead Python Engineer and 5 Middle/Senior Python Developers for a healthcare project (well-funded start up). We are hiring a team of back end engineering folks to help re-structure some architecture to make it more stable. Client has around 30 folks total in the engineering dept. Full remote, long-term cooperation, opportunities for growth.Skill set: Python, RESTful API, data structures and algorithms, relational databases, Cloud (AWS/GPC/Azure).Requirements:- 5+ years of commercial experience with Python,- Leadership and team management experience (3-7 developers),- Experience with RESTful API, data structures and algorithms, relational databases,- Experience with Cloud (AWS/GPC/Azure),- Upper-Intermediate or higher English level.It would also be desirable for candidates to have experience in AI and ML.Interview process (1 hour calls):🔸 30 minutes pre-screen interview with a recruiter;🔸 Technical interview;🔸 Manager interview;🔸 Meeting with a client.Working conditions:Remote job. Overlap at least till 11 am PSTBenefits:- Paid vacation, sick leave (without sickness list)- Official state holidays — 11 days considered public holidays- Professional growth while attending challenging projects and the possibility to switch your role, master new technologies and skills with company support- Flexible working schedule: 8 hours per day, 40 hours per week.- Personal Career Development Plan (CDP)- Employee support program (Discount, Care, Heals, Legal compensation)- Paid external training, conferences, and professional certification that meets the company’s business goals- Internal workshops & seminars- Corporate library (Paper/E-books) and internal English classes",https://djinni.co/jobs/558675-lead-python-developer/
Senior Python Software Engineer,2023-05-19,5,15,0,"Responsibilities:- Following and improving project conventions (architecture approach, code style, best practices);- Following existing project processes, methodologies, and guidelines;- Clarification and analysis of requirements;- Performing all needed investigations for successful delivery;- Writing & reviewing code and functionality, refining and rewriting it as necessary;- Presentation & demo of delivered tasks (internal/external).Requirements:- 4+ years of solid experience with Python;- Excellent knowledge in Django;- Experience with Docker/Terraform- Experience withSQL/Athena- Knowledge of the concepts of designing, developing and deploying microservices;- Well-developed communication & team working skills;- Good communication and collaboration skills.- Experience with React will be plus.Main Benefits:- 20 paid days off, 20 unpaid days off, 11 holidays, and 10 sick leaves;- Medical insurance (dental services included);- Corporate English courses;- Performance appraisals and Salary reviews;- A possibility to have a mentor or become a mentor yourself;- Personal budget for Courses, Training, and Certifications;- Skills Evaluations and promotions are based on Corporate Matrix;- Accounting Support;IT Cluster Membership.",https://djinni.co/jobs/558632-senior-python-software-engineer/
Senior Backend Engineer to build Query Intent Recognition System  $3000-4000,2023-05-19,5,13,0,"🟠 Details: Our client is a start-up that builds internet privacy-focused solutions for users. Search engines, browsers, VPN, etc. To deliver the best possible experience to their users, they would like to explore the possibility of better understanding users' intent from their search requests. For this purpose, they've designed the QIR system: Query Intent Recognition System.This system has several purposes:- Store the user's query and associated search results and context for later analysis and usage- Ensure that the storage respect the user's privacy, using different complex algorithms and interesting theories- Provide efficiently the intent of any query provided by the userThe design is done, we now need an engineer to:- Create a highly performant, robust web service that can handle a high load. The choice of the BE language is a choice and should be justified.- Design a highly performant & scalable AWS database architecture to store data related to this system.🟠 Qualifications : - At least 5+ years of experience with Python or other suitable BE language which you can justify for the task;- AWS;- Upper-Intermediate English, verbal and written;- Database Design.🟠 Interview steps:- Screening with a recruiter (30 minutes);- Interview with the client (1 hour).🟠 By joining us, you will get: - Accounting coverage;- Paid Vacations;- Flexible working hours and the possibility to work remotely;- Best-class working equipment (laptop and accessories);- Wellbeing Sessions as One-to-One meetings.🟠 Our office in Lviv:- FuturaHUB is located in Lviv (Kulparkivska 200a);- An inspiring, modern workplace with a great atmosphere and development culture;- Free “Happy Hours” parties;- Free yoga and sports training in FuturaHUB;- Chillout area: gaming zone with PlayStations, table tennis & table soccer;- Free beer, coffee, tea, cookies, etc;- Conference rooms.🟠 Some of our Values:- No overtime and pressure;- Regular rest, burnouts control;- Clean relationships within the company and with the client;- Responsibility for the own development, ideas, and interests communication, as well for the problems that stand in the way of this development;- Openness to the new, readiness for changes;",https://djinni.co/jobs/558565-senior-backend-engineer-to-build-query-intent/
Python Engineer,2023-05-19,3,41,2,"We are looking for a Python Engineer who will build infrastructure for deploying real-time machine learning models, work with the R&D team and develop web application.Respeecher is a VC-backed startup creating a system that lets one voice sound like another, focused on very high-quality output and usability for demanding applications like TV and movies, call centers, and gaming. One recent project was to create the voice of Luke Skywalker for the Mandalorian TV show. We are graduates of the Techstars startup accelerator.Benefits- Make cutting edge deep generative models work in production for customers in Hollywood and beyond- Freedom to try out ideas of your ownDuties- Build tools and infrastructure for machine learning models in cooperation with researchers, and DevOps professionals- Write beautiful and flexible Python code (and a little JS)We expect you to- Have knowledge of web development- Write great Python code using best practices- Experience with multiprocessing and optimizing CPU-based pipelines- Have practical experience in deploying your code to multiple environments- Have practical experience in designing and building different kinds of APIsWould be a plus- Have experience with WebRTC or other real-time communication interfaces- Have experience with serving and optimizing machine learning models (e.g., TensorRT)- Experience with the PyTorch framework- MLOps Experience- Understand performance issues in deep learning inference- Experience with Desktop Applications- Advanced frontend knowledge",https://djinni.co/jobs/536098-python-engineer/
Middle/Senior Python Developer  $4000-5000,2023-05-19,5,29,4,"Our customer:Our customer is a leader in the efficient use of water, land and human capital, originating and utilizing new forms of farming, rendering benefits from a collaboration with the high-tech sector.Required experience and skills:5+ years of experience with Python;Experience with Telnet protocol;English – upper-intermediate+.Would be plus:Experience with legacy code.Working conditions:Part-time (20 hours per week);Remote work.",https://djinni.co/jobs/558378-middle-senior-python-developer/
Senior Python developer with Risk (Investment bank experience),2023-05-19,5,10,0,"Project DescriptionWe invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.SkillsMust have- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice to have- Investment Bank experience- PySpark- JavaLanguagesEnglish: B2 Upper Intermediate",https://djinni.co/jobs/558481-senior-python-developer-with-risk-investment-/
